animal,dam,sire
51509,20.10.173,34.10.109
51510,10.10.052,11.10.143
51511,78.10.200,31.10.107
51512,34.10.109,61.10.125
51513,11.10.143,10.10.052
51514,78.10.200,62.10.127
51516,3.10.116,61.10.125
51518,34.10.109,20.10.173
51519,76.10.197,71.10.196
51520,34.10.109,20.10.173
51522,20.10.173,80.10.065
51523,20.10.173,75.10.038
51524,11.10.143,31.10.107
51525,2.10.018,15.10.007
51526,14.10.054,14.10.054
51527,27.10.181,68.10.090
51529,83.10.075,83.10.075
51531,6.10.069,6.10.069
51532,34.10.109,34.10.109
51533,80.10.065,34.10.109
51534,19.10.172,7.10.061
51535,82.10.133,15.10.007
51536,65.10.131,27.10.181
51538,70.10.139,70.10.139
51540,2.10.018,2.10.018
51541,27.10.181,27.10.181
51542,36.10.112,8.10.071
51543,71.10.196,21.10.175
51544,26.10.103,19.10.172
51545,59.10.030,12.10.167
51546,46.10.121,27.10.181
51547,71.10.196,36.10.112
51548,26.10.103,83.10.075
51553,48.10.064,62.10.127
51554,71.10.196,8.10.071
51555,83.10.075,84.10.040
51556,83.10.075,83.10.075
51559,80.10.065,34.10.109
51560,83.10.075,26.10.103
51561,8.10.071,71.10.196
51566,65.10.131,4.10.163
51567,8.10.071,36.10.112
51568,24.10.077,5.10.149
51569,19.10.172,19.10.172
51570,2.10.018,2.10.018
51571,27.10.181,27.10.181
51572,52.10.006,57.10.028
51574,8.10.071,8.10.071
51576,58.10.029,2.10.018
51577,27.10.181,4.10.051
51578,46.10.121,27.10.181
51580,56.10.191,51.10.044
51581,8.10.071,8.10.071
51583,71.10.196,36.10.112
51584,72.10.141,81.10.142
51585,13.10.170,39.10.187
51586,58.10.029,58.10.029
51587,73.10.037,52.10.006
51592,46.10.121,46.10.121
51593,56.10.191,47.10.137
51594,21.10.175,8.10.071
51595,3.10.116,3.10.116
51597,15.10.007,58.10.029
51601,39.10.187,9.10.166
51602,25.10.081,74.10.046
51604,9.10.166,28.10.183
51606,71.10.196,8.10.071
51607,83.10.075,26.10.103
51608,8.10.071,71.10.196
51611,72.10.141,72.10.141
51613,72.10.141,72.10.141
51614,47.10.137,6.10.069
51615,61.10.204,80.10.065
51616,58.10.029,58.10.029
51619,4.10.163,65.10.131
51620,83.10.075,7.10.061
51621,58.10.029,33.10.083
51623,73.10.037,73.10.037
51624,51.10.044,51.10.044
51625,21.10.175,71.10.196
51627,21.10.175,36.10.112
51630,58.10.029,2.10.018
510010,51001,51001
510050,51005,51005
510090,51009,51009
510100,51010,51010
510170,NA,NA
510190,51019,51019
510270,51027,51027
510290,51029,51029
510310,51031,51031
510390,51039,51039
510410,51041,51041
510420,51042,51042
510460,51046,51046
510490,51049,51049
510500,51050,51050
510570,51057,51057
510580,51058,51058
510620,51062,51062
510630,51063,51063
510650,51065,51065
510710,51071,51071
510720,51072,51072
510760,51076,51076
510770,51077,51077
510790,51079,51079
510810,51081,51081
510850,51085,51085
510900,51090,51090
510940,51094,51094
510950,51095,51095
510960,51096,51096
510970,51097,51097
510990,51099,51099
511020,51102,51102
511030,51103,51103
511050,51105,51105
511060,51106,51106
511100,51110,51110
511170,51117,51117
511200,51120,51120
511300,51130,51130
511310,51131,51131
511330,51133,51133
511360,51136,51136
511440,51144,51144
511610,51161,51161
511670,51167,51167
511730,51173,51173
511740,51174,51174
511780,51178,51178
511810,51181,51181
511830,51183,51183
511840,51184,51184
511870,51187,51187
511900,51190,51190
511910,51191,51191
511980,51198,51198
511990,51199,51199
512080,51208,51208
512120,51212,51212
512130,51213,51213
512140,51214,51214
512150,51215,51215
512160,51216,51216
512170,51217,51217
512180,51218,51218
512190,51219,51219
512260,51226,51226
512280,51228,51228
512300,51230,51230
512330,51233,51233
512340,51234,51234
512350,51235,51235
512360,51236,51236
512420,51242,51242
512430,51243,51243
512480,51248,51248
512490,51249,51249
512500,51250,51250
512540,51254,51254
512560,51256,51256
512580,51258,51258
512660,51266,51266
512680,51268,51268
512730,51273,51273
512750,51275,51275
512770,51277,51277
512790,51279,51279
512800,51280,51280
512830,51283,51283
512900,51290,51290
512920,51292,51292
513010,NA,NA
513030,51303,51303
513050,51305,51305
513060,51306,51306
513090,51309,51309
513300,51330,51330
513340,51334,51334
513350,51335,51335
513360,51336,51336
513380,51338,51338
513400,51340,51340
513420,51342,51342
513450,51345,51345
513470,51347,51347
513480,51348,51348
513500,51350,51350
513510,51351,51351
513530,51353,51353
513560,51356,51356
513600,51360,51360
513620,51362,51362
513650,51365,51365
513670,51367,51367
513720,51372,51372
513730,51373,51373
513740,51374,51374
513770,51377,51377
513790,51379,51379
513890,51389,51389
513960,51396,51396
514000,51400,51400
514010,51401,51401
514020,51402,51402
514030,51403,51403
514040,51404,51404
514110,51411,51411
514120,51412,51412
514140,51414,51414
514150,51415,51415
514160,51416,51416
514170,51417,51417
514190,51419,51419
514210,51421,51421
514230,51423,51423
514240,51424,51424
514260,51426,51426
514270,51427,51427
514280,51428,51428
514290,51429,51429
514310,51431,51431
514320,51432,51432
514330,51433,51433
514350,51435,51435
514380,51438,51438
514400,51440,51440
514450,51445,51445
514480,51448,51448
514500,51450,51450
514520,51452,51452
514540,51454,51454
514610,51461,51461
514640,51464,51464
514650,51465,51465
514660,51466,51466
514670,51467,51467
514700,51470,51470
514720,51472,51472
514730,51473,51473
514750,51475,51475
514760,51476,51476
514780,51478,51478
514810,51481,51481
514820,51482,51482
514830,51483,51483
514850,51485,51485
514860,51486,51486
514940,51494,51494
514960,51496,51496
514980,51498,51498
515000,51500,51500
515020,51502,51502
515030,51503,51503
515040,51504,51504
515070,51507,51507
515100,51510,51510
515110,51511,51511
515120,51512,51512
515140,51514,51514
515160,51516,51516
515180,51518,51518
515190,51519,51519
515200,51520,51520
515220,51522,51522
515230,51523,51523
515260,51526,51526
515290,51529,51529
515310,51531,51531
515330,51533,51533
515340,51534,51534
515360,51536,51536
515380,51538,51538
515400,51540,51540
515410,51541,51541
515420,51542,51542
515440,51544,51544
515450,51545,51545
515480,51548,51548
515530,51553,51553
515540,51554,51554
515670,51567,51567
515690,51569,51569
515710,51571,51571
515720,51572,51572
515780,51578,51578
515810,51581,51581
515850,51585,51585
515870,51587,51587
515950,51595,51595
